epoch,accuracy
1,-11.685824394226074
2,-49.37722682952881
3,-167.01037883758545
4,-171.74530029296875
5,-172.9755163192749
6,-173.8954782485962
7,-241.54248237609863
8,-197.24962711334229
9,-195.61829566955566
10,-281.83486461639404
11,-269.02031898498535
12,-386.3058090209961
13,-266.00399017333984
14,-219.17154788970947
15,-344.51541900634766
16,-335.26010513305664
17,-176.06287002563477
18,-192.98746585845947
19,-283.2362174987793
20,-157.8784704208374
